%time,control_mode
1736135803434644218,0
1736135803484683928,0
1736135803534722034,0
1736135803584731556,0
1736135803634684970,0
1736135803684733596,0
1736135803734684787,0
1736135803784837422,0
1736135803834727844,0
1736135803884771442,0
1736135803934667396,0
1736135803984871630,0
1736135804034682618,0
1736135804084733754,0
1736135804134698995,0
1736135804184731055,0
1736135804234711654,0
1736135804284724367,0
1736135804334696551,0
1736135804384807321,0
1736135804434847886,0
1736135804484828427,0
1736135804534675441,0
1736135804584802683,0
1736135804634684264,0
1736135804684866360,0
1736135804734694990,0
1736135804784858261,0
1736135804834750641,0
1736135804884709861,0
1736135804934664372,0
1736135804984834205,0
1736135805034733787,0
1736135805084686699,0
1736135805134689907,0
1736135805184806072,0
1736135805234703988,0
1736135805284773895,0
1736135805334661611,0
1736135805384771545,0
1736135805434717052,0
1736135805484803119,0
1736135805534731874,0
1736135805584773016,0
1736135805634756125,0
1736135805684752832,0
1736135805734767100,0
1736135805784615873,0
1736135805834704885,0
1736135805884709756,0
1736135805934710550,0
1736135805984809592,0
1736135806034753974,0
1736135806084799810,0
1736135806134663324,0
1736135806184773642,0
1736135806234709135,0
1736135806284805336,0
1736135806334748142,0
1736135806384767927,0
1736135806434694604,0
1736135806484678288,0
1736135806534644419,0
1736135806584732185,0
1736135806634739134,0
1736135806684672353,0
1736135806734696757,0
1736135806784724416,0
1736135806834724552,0
1736135806884691967,0
1736135806934658860,0
1736135806984704203,0
1736135807034689337,0
1736135807084736558,0
1736135807134702143,0
1736135807184777949,0
1736135807234730880,0
1736135807284722716,0
1736135807334682139,0
1736135807384735221,0
1736135807434732607,0
1736135807484744801,0
1736135807534710887,0
1736135807584767056,0
1736135807634745767,0
1736135807684768371,0
1736135807734678099,0
1736135807784737673,0
1736135807834740640,0
1736135807884784064,0
1736135807934731716,0
1736135807984781782,0
1736135808034753135,0
1736135808084795892,0
1736135808134705023,0
1736135808184773951,0
1736135808234731114,0
1736135808284734346,0
1736135808334736886,0
1736135808384752051,0
1736135808434743379,0
1736135808484776989,0
1736135808534674829,0
1736135808584756220,0
1736135808634669630,0
1736135808684690235,0
1736135808734628893,0
1736135808784679104,0
1736135808834698287,0
1736135808884648978,9
1736135808934735258,9
1736135808984635262,9
1736135809034706421,9
1736135809084696812,9
1736135809134677505,9
1736135809184720828,9
1736135809234584887,9
1736135809284651946,9
1736135809334633029,9
1736135809384689096,9
1736135809434695429,9
1736135809484791001,9
1736135809534766303,9
1736135809584789659,9
1736135809634668396,9
1736135809684653157,9
1736135809734666062,9
1736135809784626676,9
1736135809834691960,9
1736135809884965134,9
1736135809934865112,9
1736135809984825857,9
1736135810034812308,9
1736135810084849834,9
1736135810134797668,9
1736135810184821027,9
1736135810234845479,9
1736135810284892313,9
1736135810334830979,9
1736135810384886129,9
1736135810434906001,9
1736135810484807478,9
1736135810534796721,9
1736135810584924971,9
1736135810634880530,9
1736135810684837221,9
1736135810734890589,9
1736135810784816501,9
1736135810834844258,9
1736135810884865393,9
1736135810934813006,9
1736135810984868397,9
1736135811034789125,9
1736135811084932208,9
1736135811134917078,9
1736135811185052065,9
1736135811234846049,9
1736135811284929768,9
1736135811334860444,9
1736135811384831307,9
1736135811434881973,9
1736135811484868345,9
1736135811534811906,9
1736135811584903550,9
1736135811634775554,9
1736135811684881837,9
1736135811734786403,9
1736135811784845666,9
1736135811834844563,9
1736135811884884007,9
1736135811934812168,9
1736135811984866311,9
1736135812034764932,9
1736135812084855438,9
1736135812134791289,9
1736135812184860565,9
1736135812234772300,9
