%time,desired_box
1735646652761004780,0
1735646652961166877,0
1735646653161123397,0
1735646653361127496,0
1735646653561073697,0
1735646653761053249,0
1735646653961078721,0
1735646654160921537,0
1735646654361150452,0
1735646654561015041,0
1735646654761118109,0
1735646654961159500,0
1735646655161121373,0
1735646655361115586,0
1735646655561131110,0
1735646655761036777,0
1735646655961143263,0
1735646656161132820,0
1735646656361178072,0
1735646656561153632,0
1735646656761112531,0
1735646656961032897,0
1735646657161128875,0
1735646657361135606,0
1735646657561136846,0
1735646657761126293,0
1735646657961104790,0
1735646658161131680,0
1735646658361228342,0
1735646658561209476,0
1735646658761263467,0
1735646658961118132,0
1735646659161155282,0
1735646659361082725,0
1735646659561132079,0
1735646659761152118,0
1735646659961137721,0
1735646660161115140,0
1735646660361140971,0
1735646660561157464,0
1735646660760955925,0
1735646660961087225,0
1735646661161121423,0
1735646661361160300,0
1735646661561103275,0
1735646661761117165,0
1735646661961377781,0
1735646662161293085,0
1735646662361139530,0
1735646662561159032,0
1735646662761168714,0
1735646662961312070,0
1735646663161038899,0
1735646663361003900,0
1735646663561175990,0
1735646663761184674,0
1735646663961035247,0
1735646664161041518,0
1735646664361156332,0
1735646664561157491,0
1735646664761140767,0
1735646664961117301,0
1735646665161045404,0
1735646665361143899,0
1735646665561140771,0
1735646665761130431,0
1735646665960989563,0
1735646666161144376,0
1735646666361103660,0
1735646666561151441,0
1735646666761155988,0
1735646666961088892,0
1735646667161000578,0
1735646667361172855,0
1735646667561173377,0
1735646667761091985,0
1735646667960982781,0
1735646668161149168,0
1735646668361151545,0
1735646668561147592,0
1735646668761024421,0
1735646668961126147,0
1735646669161147233,0
1735646669361168337,0
1735646669561141040,0
1735646669761174448,0
1735646669961153934,0
1735646670161167044,0
1735646670361159837,0
1735646670561137130,0
1735646670761145762,0
1735646670961148883,0
1735646671161137739,0
1735646671361123299,0
1735646671561183219,0
1735646671760967660,0
1735646671961131998,0
1735646672161156021,0
1735646672361179354,0
1735646672560977290,0
1735646672761061879,0
1735646672961127603,0
1735646673161167387,0
1735646673361170432,0
1735646673561129847,0
1735646673761184589,0
1735646673961166234,0
1735646674161176835,0
1735646674361222795,0
1735646674561154627,0
1735646674761179045,0
1735646674961186610,0
1735646675161044675,0
1735646675361143434,0
1735646675561024001,0
1735646675761171753,0
1735646675961189870,0
1735646676161018510,0
1735646676361130275,0
1735646676561146450,0
1735646676761054930,0
1735646676961192244,0
1735646677161160168,0
1735646677360994502,0
1735646677561166832,0
1735646677761163422,0
1735646677961801171,0
1735646678161646015,0
1735646678360969284,0
1735646678561099587,0
1735646678761147494,0
1735646678961095172,0
1735646679161029375,0
1735646679361154330,0
1735646679561063997,0
1735646679761162442,0
1735646679961078581,0
1735646680161162479,0
1735646680361108237,0
1735646680561121602,0
1735646680760931142,0
1735646680961146798,0
1735646681161147971,0
1735646681361135167,0
1735646681561072420,0
1735646681761129338,0
1735646681961149217,0
1735646682161133769,0
1735646682361132230,0
1735646682561082638,0
1735646682761112305,0
1735646682961141293,0
1735646683161106712,0
1735646683361107687,0
1735646683561054049,0
1735646683761094409,0
1735646683961144837,0
1735646684161136326,0
1735646684360966691,0
1735646684561046846,0
1735646684761082659,0
1735646684961120676,0
1735646685161137755,0
1735646685361094318,0
1735646685561121817,0
1735646685761030481,0
1735646685960918234,0
1735646686161130272,0
1735646686361012518,0
1735646686561125008,0
1735646686761015109,0
1735646686961141214,0
1735646687161121575,0
1735646687361113689,0
1735646687561111344,0
1735646687761134167,0
1735646687961080905,0
1735646688161114918,0
1735646688361121862,0
1735646688561075064,0
1735646688761154374,0
1735646688961113447,0
1735646689161148936,0
1735646689361141283,0
