%time,control_mode,desired_box,eef_distance,intersection_length,field.boxes0.id,field.boxes1.id,field.boxes2.id,field.boxes3.id,field.boxes4.id,field.boxes5.id,field.boxes6.id,field.boxes7.id,field.boxes8.id,baysian0,baysian1,baysian2,baysian3,baysian4,baysian5,baysian6,baysian7,baysian8
5.300067891,0,121,0.2473626434803009,48.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,0.0022732727644379533,1.0020020952761588e-06,0.10153433706748183,1.0020020952761588e-06,1.0020020952761588e-06,1.6201638162155464e-05,4.14845519546063e-06
5.400038847,0,121,0.240656703710556,49.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,0.0028005911842999996,1.0020020952761588e-06,0.12027879462824873,1.0020020952761588e-06,1.0020020952761588e-06,1.801257819111734e-05,5.5338982859482704e-06
5.500101964,0,121,0.2348081469535827,50.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0020020952761588e-06,0.0030886087754171602,1.0020020952761588e-06,0.13159673069195452,1.0020020952761588e-06,1.0020020952761588e-06,1.733361741896266e-05,5.937156835316594e-06
5.600084412,0,121,0.2296787053346634,51.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0026194324173947e-06,0.0038328386673612733,1.0020020952761588e-06,0.1478538322171359,1.0020020952761588e-06,1.0020020952761588e-06,1.5618311881213975e-05,6.2533621629894555e-06
5.700065936,0,121,0.222346544265747,52.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.7391089606270256e-06,0.005912207121884784,1.0020020952761588e-06,0.17786560388218886,1.0020020952761588e-06,1.0020020952761588e-06,1.3242934935374294e-05,6.696026025117255e-06
5.800115117,0,121,0.2153878211975097,53.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,4.778863896296447e-06,0.009339441191091551,1.0020020952761588e-06,0.211944914914017,1.0020020952761588e-06,1.0020020952761588e-06,1.0868781995035934e-05,6.8496960598643065e-06
5.900026754,0,121,0.2087589800357818,54.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,8.914543863456564e-06,0.012682921922379017,1.0020020952761588e-06,0.24211004144129722,1.0020020952761588e-06,1.0020020952761588e-06,9.630932282830719e-06,7.29608313285699e-06
6.000101112,0,121,0.2040098309516906,55.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.0187858877734977e-05,0.01413150904204037,1.0020020952761588e-06,0.2635095673739707,1.0020020952761588e-06,1.0020020952761588e-06,1.013959268744101e-05,8.50306193265162e-06
6.10009545,0,121,0.1984130591154098,56.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.027431185093006e-05,0.015036805140596824,1.0020020952761588e-06,0.28698224285626006,1.0020020952761588e-06,1.0020020952761588e-06,1.2607730965330046e-05,1.1272317288477196e-05
6.200091833,0,121,0.1925445348024368,57.0,0.0,1.0,16.0,17.0,121.0,122.0,124.0,125.0,126.0,1.0020020952761588e-06,1.1433994527181974e-05,0.016739613592327743,1.0020020952761588e-06,0.31615135198300803,1.0020020952761588e-06,1.0020020952761588e-06,1.487202477012773e-05,1.4796340304152112e-05
