%time,intersection_length
1735646066904321174,71
1735646067005388490,71
1735646067105537688,71
1735646067204680121,71
1735646067304350082,71
1735646067404737481,71
1735646067502981833,71
1735646067604794801,71
1735646067704424435,71
1735646067805579748,71
1735646067904976652,71
1735646068004836683,71
1735646068105572333,71
1735646068206050965,71
1735646068305346617,71
1735646068404580763,71
1735646068503370709,71
1735646068604392589,71
1735646068704568878,71
1735646068804635151,71
1735646068904757378,71
1735646069005733371,71
1735646069103843149,71
1735646069204443331,71
1735646069304110999,71
1735646069404170458,71
1735646069508711369,71
1735646069605193556,71
1735646069703614493,71
1735646069802730457,71
1735646069903033256,71
1735646070004927297,71
1735646070104809850,71
1735646070204125310,71
1735646070304862373,71
1735646070404778710,71
1735646070503313342,71
1735646070603470095,71
1735646070704265087,71
1735646070803710833,71
1735646070902772613,71
1735646071002823786,71
1735646071104255433,71
1735646071205740200,71
1735646071305281898,71
1735646071403697336,71
1735646071505089106,71
1735646071605078943,71
1735646071701828778,71
1735646071804447851,71
1735646071904637817,71
1735646072004062675,71
1735646072104166528,71
1735646072204588843,71
1735646072305023623,71
1735646072403507770,71
1735646072502685930,71
1735646072602769215,71
1735646072704685999,71
1735646072805322169,71
1735646072905494833,71
1735646073002678067,71
1735646073103238926,71
1735646073205384834,71
1735646073304578403,71
1735646073403207366,71
1735646073504010271,71
1735646073605200191,0
1735646073702433159,0
1735646073802279234,0
1735646073902643691,0
1735646074004978917,0
1735646074103871368,0
1735646074204880885,0
1735646074303616539,0
1735646074404318704,0
1735646074504389616,0
1735646074604907121,0
1735646074702435921,0
1735646074803309720,1
1735646074902360190,2
1735646075001708833,3
1735646075104325101,4
1735646075203350464,5
1735646075305191085,6
1735646075404626162,7
1735646075504642450,8
1735646075604329193,9
1735646075705381112,10
1735646075804755303,11
1735646075904427179,12
1735646076005097153,13
1735646076103784456,14
1735646076204289087,15
1735646076303933231,16
1735646076403743788,17
1735646076503831592,18
1735646076604171352,19
1735646076703390981,20
1735646076805372830,21
1735646076904637925,22
1735646077005686858,23
1735646077103769486,24
1735646077203611122,25
1735646077304423898,26
1735646077404815655,27
1735646077504659237,28
1735646077603626239,29
1735646077703525874,30
1735646077803274707,31
1735646077903664051,31
1735646078005204162,32
1735646078105165807,33
1735646078202385512,34
1735646078304754932,35
1735646078402351320,36
1735646078501974364,37
1735646078605087272,38
1735646078702866466,39
1735646078802201174,40
1735646078903264282,41
1735646079004556315,42
1735646079104259661,43
1735646079201882349,44
1735646079301886635,45
1735646079404678066,46
1735646079505075886,47
1735646079604034070,48
1735646079703740101,49
1735646079802169897,50
1735646079903995750,51
1735646080002559838,52
1735646080105008541,53
1735646080204563265,54
1735646080304874201,55
1735646080402800624,56
1735646080504704313,57
1735646080603990559,58
1735646080703993983,59
1735646080802268675,60
1735646080905109819,61
1735646081004829796,62
1735646081105006518,63
1735646081205569952,64
1735646081304911854,65
1735646081402779565,65
1735646081505535929,66
1735646081604327378,67
1735646081704723376,68
1735646081804894216,68
1735646081906174618,68
1735646082003068656,68
1735646082104730429,68
1735646082206339721,68
1735646082303403350,68
1735646082404274597,68
1735646082502826313,68
1735646082605340900,68
1735646082704585157,68
1735646082803059527,68
1735646082905044762,68
1735646083002967247,68
1735646083105595379,68
1735646083203843801,68
1735646083305934635,68
1735646083406287220,68
1735646083505920102,68
1735646083605604913,68
1735646083705722183,68
1735646083805157712,68
1735646083905060415,68
1735646084005028582,68
1735646084103229164,68
1735646084204529883,68
1735646084305205520,68
1735646084404990430,68
1735646084504874869,68
1735646084604665861,68
1735646084704179247,68
1735646084805038501,68
1735646084903497722,68
1735646085004889634,68
1735646085102519978,68
1735646085204179667,68
1735646085305163076,68
1735646085404995336,68
1735646085504396430,68
1735646085604554767,68
1735646085702882189,68
1735646085802867118,68
1735646085904691180,68
1735646086004207101,68
1735646086102493214,68
1735646086204312556,68
1735646086303800354,68
1735646086403595043,68
1735646086502672674,68
1735646086603654690,0
1735646086704638029,0
1735646086802318085,0
1735646086903133218,0
1735646087002426628,0
1735646087102665327,0
1735646087203948433,0
1735646087303803667,0
1735646087401582420,0
1735646087503359321,0
1735646087603858515,0
1735646087703686106,0
1735646087803372159,0
1735646087903675020,0
1735646088003646614,0
1735646088104603823,0
1735646088202429627,0
1735646088303461127,0
1735646088402980435,0
1735646088503640632,0
1735646088602971803,0
1735646088702290042,0
1735646088804794039,0
1735646088903951432,0
1735646089004435796,0
1735646089103635000,0
1735646089202087748,0
1735646089302603402,0
1735646089403740612,0
1735646089502811392,0
1735646089604644289,0
1735646089703000095,0
1735646089803313996,0
1735646089904383570,0
1735646090003938225,0
1735646090102998724,0
1735646090202852366,0
1735646090304051093,0
1735646090403205940,0
1735646090503241876,0
1735646090604151226,0
1735646090703596875,0
1735646090804376939,0
1735646090903304478,0
1735646091003520675,0
1735646091103801073,0
1735646091203560407,0
1735646091303931627,0
1735646091405085980,0
1735646091504575973,0
1735646091605398718,0
1735646091704312040,0
1735646091802821637,0
1735646091902589174,0
1735646092002728507,0
1735646092103169249,0
1735646092202507135,0
1735646092302688305,0
1735646092403329777,0
1735646092503966812,0
1735646092604016113,0
1735646092703166093,0
1735646092804972620,0
1735646092902860630,0
1735646093003995568,0
1735646093103125719,0
1735646093203147619,0
1735646093303685776,0
1735646093404366042,0
1735646093502714554,0
1735646093603567918,0
1735646093703361365,0
1735646093803627638,0
1735646093903393402,0
1735646094002947037,0
1735646094103117667,0
1735646094204034772,0
1735646094302774094,0
1735646094403883753,0
1735646094503885504,0
1735646094604838998,0
1735646094703079535,0
1735646094803983165,0
1735646094903669499,0
1735646095003925573,0
1735646095103394926,0
1735646095202534897,0
1735646095303826259,0
1735646095403322515,0
1735646095504653734,0
1735646095603036651,0
1735646095704059105,0
1735646095803293313,0
1735646095902271789,0
1735646096002687904,0
1735646096105017613,0
1735646096202283006,0
1735646096304002949,0
1735646096403094819,0
1735646096504390391,0
1735646096602511101,0
1735646096704023584,0
1735646096803004382,0
1735646096902427219,0
1735646097002912847,0
1735646097104050969,0
1735646097203561492,0
1735646097302459765,0
1735646097402538983,0
1735646097502817930,0
1735646097603952116,0
1735646097703843288,0
1735646097803997569,0
1735646097902944575,0
1735646098003938414,0
1735646098103612777,0
1735646098203761397,0
1735646098303823905,0
